Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Cabin_a,Cabin_b
1,1,female,35.0,1,0,36973.0,83.475,S,C,83.0
0,1,male,0.0,0,0,17612.0,27.7208,C,0,0.0
0,3,male,65.0,0,0,336439.0,7.75,Q,0,0.0
1,3,male,0.0,1,1,2661.0,15.2458,C,0,0.0
0,3,male,28.5,0,0,54636.0,16.1,S,0,0.0
1,2,male,31.0,0,0,244270.0,13.0,S,0,0.0
0,2,male,24.0,2,0,14879.0,73.5,S,0,0.0
0,3,male,22.0,0,0,350052.0,7.7958,S,0,0.0
0,3,male,36.0,1,1,345773.0,24.15,S,0,0.0
0,3,male,0.0,0,0,371110.0,24.15,Q,0,0.0
1,1,male,0.92,1,2,113781.0,151.55,S,C,22.0
0,3,male,0.0,3,1,4133.0,25.4667,S,0,0.0
1,2,female,35.0,0,0,13528.0,21.0,S,0,0.0
0,3,female,0.0,3,1,4133.0,25.4667,S,0,0.0
1,2,male,42.0,0,0,237798.0,13.0,S,0,0.0
0,3,male,34.0,1,1,347080.0,14.4,S,0,0.0
0,3,male,21.0,0,0,8475.0,8.4333,S,0,0.0
0,3,male,35.0,0,0,373450.0,8.05,S,0,0.0
0,3,male,51.0,0,0,347743.0,7.0542,S,0,0.0
1,2,female,40.0,1,1,29750.0,39.0,S,0,0.0
0,1,male,51.0,0,1,17597.0,61.3792,C,0,0.0
1,1,female,26.0,0,0,19877.0,78.85,S,0,0.0
0,3,female,0.0,1,0,2665.0,14.4542,C,0,0.0
1,3,female,0.0,1,0,386525.0,16.1,S,0,0.0
1,2,female,0.0,0,0,248727.0,33.0,S,0,0.0
0,3,male,70.5,0,0,370369.0,7.75,Q,0,0.0
0,2,male,0.0,0,0,239855.0,0.0,S,0,0.0
0,2,male,59.0,0,0,237442.0,13.5,S,0,0.0
0,3,male,2.0,3,1,349909.0,21.075,S,0,0.0
1,1,female,24.0,0,0,17477.0,69.3,C,B,35.0
0,3,male,42.0,0,1,4579.0,8.4042,S,0,0.0
0,3,female,14.0,0,0,350406.0,7.8542,S,0,0.0
0,1,male,60.0,0,0,113800.0,26.55,S,0,0.0
0,3,male,21.0,0,0,39886.0,7.8,S,0,0.0
0,3,male,25.0,0,0,3101312.0,7.05,S,0,0.0
0,2,male,23.0,0,0,233639.0,13.0,S,0,0.0
1,2,female,50.0,0,1,230433.0,26.0,S,0,0.0
0,1,male,24.0,0,1,17558.0,247.5208,C,B,58.0
0,2,male,66.0,0,0,24579.0,10.5,S,0,0.0
0,1,male,19.0,3,2,19950.0,263.0,S,C,23.0
1,3,male,21.0,0,0,350034.0,7.7958,S,0,0.0
0,1,male,22.0,0,0,17760.0,135.6333,C,0,0.0
0,3,male,0.0,0,0,312993.0,7.775,S,0,0.0
1,3,female,18.0,0,1,392091.0,9.35,S,0,0.0
0,3,male,0.0,0,0,751.0,7.55,S,0,0.0
1,3,male,19.0,0,0,10482.0,8.05,S,0,0.0
1,1,male,27.0,0,0,113804.0,30.5,S,0,0.0
0,3,male,17.0,1,1,2690.0,7.2292,C,0,0.0
0,3,male,24.0,0,0,350035.0,7.7958,S,0,0.0
0,2,male,16.0,0,0,239865.0,26.0,S,0,0.0
0,3,female,0.0,0,0,6609.0,7.55,S,0,0.0
0,3,male,0.0,0,0,349222.0,7.8958,S,0,0.0
0,3,male,50.0,0,0,3594.0,8.05,S,0,0.0
1,3,female,35.0,1,1,2673.0,20.25,S,0,0.0
0,1,male,50.0,1,0,13507.0,55.9,S,E,44.0
0,3,male,0.0,0,0,364851.0,7.75,Q,0,0.0
0,2,male,35.0,0,0,239865.0,26.0,S,0,0.0
0,1,female,50.0,0,0,17595.0,28.7125,C,C,49.0
1,1,female,54.0,1,0,17603.0,59.4,C,0,0.0
0,3,female,43.0,1,6,2144.0,46.9,S,0,0.0
1,2,female,4.0,1,1,29103.0,23.0,S,0,0.0
1,1,male,40.0,0,0,112277.0,31.0,C,A,31.0
1,1,male,36.0,0,1,17755.0,512.3292,C,B,51.0
1,3,male,1.0,1,2,2315.0,20.575,S,0,0.0
1,1,female,31.0,1,0,35273.0,113.275,C,D,36.0
0,3,male,21.0,0,0,3101317.0,7.25,S,0,0.0
1,1,female,62.0,0,0,113572.0,80.0,0,B,28.0
0,2,male,30.0,0,0,14208.0,10.5,S,0,0.0
0,3,male,21.0,0,0,312992.0,7.775,S,0,0.0
0,3,female,40.0,1,0,7546.0,9.475,S,0,0.0
0,3,female,30.5,0,0,364850.0,7.75,Q,0,0.0
0,3,male,21.0,0,0,315097.0,8.6625,S,0,0.0
0,3,male,15.0,1,1,2695.0,7.2292,C,0,0.0
